text,label
"Your account has been suspended. Click here to verify.",1
"Congratulations! You have won a lottery. Click this link to claim.",1
"Please find attached the project report.",0
"Meeting scheduled for 3 PM tomorrow.",0
"Urgent: Your password will expire today.",1
"Can we reschedule the meeting to next week?",0
"Click here to get your free gift card now!",1
"Monthly report is ready for review.",0
"Your invoice for last month is attached.",0
"Immediate action required: confirm your identity.",1
